bool apache_child_terminate ();このリクエストの後にApacheプロセスを終了する
void mailparse_msg_extract_part ( resource rfc2045 , string msgbody , [ string callbackfunc ] );メッセージセクションを展開/デコードする。callbackfuncが指定されない場合、コンテンツは"stdout"に送られる
void mailparse_msg_free ( resource rfc2045buf );mailparse_msg_creaにより確保されたハンドルを解放する
array mailparse_msg_get_part_data ( resource rfc2045 );メッセージに関する情報の連想配列を返す
int mailparse_msg_get_part ( resource rfc2045 , string mimesection );MIMEメッセージの指定したセクションに関するハンドルを返す
array mailparse_msg_get_structure ( resource rfc2045 );指定したメッセージ内のMIMEセクション名の配列を返す
resource mailparse_msg_parse_file ( string filename );ファイルをパースし、その構造を表すリソースを返す
void mailparse_msg_parse ( resource rfc2045buf , string data );データをパースし、バッファに追加する
array mailparse_rfc822_parse_addresses ( string addresses );アドレスをパースし、そのデータを含むハッシュを返す
bool mailparse_stream_encode ( resource sourcefp , resource destfp , string encoding );ソースファイルポインタのストリームからデータを取得し、エンコーディングを適用し、出力ファイルポインタに書き込む
array mailparse_uudecode_all ( resource fp );ファイルポインタからデータをスキャン、uuencodeされたファイルを展開、ファイル名のリストを含む配列を返す
mixed abs ( mixed number );絶対値
float acos ( float arg );アークコサイン
float acosh ( float arg );逆双曲線余弦
float asin ( float arg );アークサイン
float asinh ( float arg );逆双曲線正弦
float atan ( float arg );アークタンジェント
float atan2 ( float y , float x );2変数のアークタンジェント
float atanh ( float arg );逆双曲線正接
string base_convert ( string number , int frombase , int tobase );任意の基底に変換する
int bindec ( string binary_string );2進数 を 10 進数に変換します
float ceil ( float value );切り上げ
float cos ( float arg );コサイン
float cosh ( float arg );双曲線余弦
string decbin ( int number );10 進数を 2進数 に変換します
string dechex ( int number );10 進数を 16 進数に変換します
string decoct ( int number );10 進数を 8 進数に変換します。
double deg2rad ( double number );度単位の数値をラジアン単位に変換する
float exp ( float arg );自然対数 e の累乗を計算します
float expm1 ( float number );値がゼロに近い時にでも精度を保つためにexp(number)-1を返す
float floor ( float value );切捨て
int getrandmax ();乱数の最大値を取得する
int hexdec ( string hex_string );16 進数を 10 進数に変換します。
float hypot ( float num1 , float num2 );sqrt( num1*num1 + num2*num2)を返す
double lcg_value ();複合型の線形合同発生器(LCG)
float log ( float arg );自然対数
float log10 ( float arg );底数 10 の対数
float log1p ( float number );ゼロに近い場合の精度を維持するため、log(1 + number)を返す
mixed max ( mixed arg1 , mixed arg2 , mixed argn );最も大きい数値を返す
mixed min ( mixed arg1 , mixed arg2 , mixed argn );最も小さい値を返す
int mt_getrandmax ();乱数値の最大値を表示する
int mt_rand ( [ int min ] , int max );改良型乱数値を生成する
void mt_srand ( [ int seed ] );改良型乱数生成器にシードを指定する
string number_format ( float number , [ int decimals ] , [ string dec_point ] , [ string thousands_sep ] );1,000 単位で数字をフォーマットする
int octdec ( string octal_string );8進数を10進数に変換する
double pi ();円周率の値を得る
number pow ( number base , number exp );指数関数値
double rad2deg ( double number );ラジアン単位の数を等価な度単位の数に変換する
int rand ( [ int min ] , int max );乱数を生成します
double round ( double val , int [precision] );浮動点整数を整数値に丸める
float sin ( float arg );サイン
float sinh ( float arg );双曲線正弦
float sqrt ( float arg );平方根
void srand ( int seed );乱数ジェネレータを初期化する
float tan ( float arg );タンジェント
float tanh ( float arg );双曲線正接
string mb_convert_case ( string str , int mode , [ string encoding ] );文字列に対してケースフォルディングを行う
string mb_convert_encoding ( string str , string to-encoding , [ mixed from-encoding ] );文字エンコーディングを変換する
string mb_convert_kana ( string str , string option , [ mixed encoding ] );カナを("全角かな"、"半角かな"等に)変換する
string mb_convert_variables ( string to-encoding , mixed from-encoding , mixed vars );変数の文字コードを変換する
string mb_decode_mimeheader ( string str );MIME ヘッダフィールドの文字列をデコードする
string mb_decode_numericentity ( string str , array convmap , [ string encoding ] );HTML数値エンティティを文字にデコードする
string mb_detect_encoding ( string str , [ mixed encoding-list ] );文字エンコーディングを検出する
array mb_detect_order ( [ mixed encoding-list ] );文字エンコーディング検出順序の設定/取得
string mb_encode_mimeheader ( string str , [ string charset ] , [ string transfer-encoding ] , [ string linefeed ] );MIMEヘッダの文字列をエンコードする
